Date,Product,Quantity,Revenue
2022-01-01,Product_7,52,1443.3214523714037
2022-01-02,Product_8,61,1036.37768163846
2022-01-03,Product_10,83,464.9711531907033
2022-01-04,Product_8,24,1098.521743891181
2022-01-05,Product_5,2,1180.2985881068485
2022-01-06,Product_6,2,559.0987122881656
2022-01-07,Product_5,33,699.8785794034684
2022-01-08,Product_6,89,684.9135112277481
2022-01-09,Product_10,92,1469.8188466676781
2022-01-10,Product_3,55,1480.7155186778064
2022-01-11,Product_9,3,1338.9314677467687
2022-01-12,Product_7,21,868.0741397649745
2022-01-13,Product_2,4,1433.5320190375808
2022-01-14,Product_2,9,368.36119005324633
2022-01-15,Product_2,84,627.1792859299135
2022-01-16,Product_7,44,919.4534466279607
2022-01-17,Product_3,78,799.7196987092269
2022-01-18,Product_2,4,708.4677375028226
2022-01-19,Product_6,54,978.7168212447716
2022-01-20,Product_6,93,1465.0223219292423
2022-01-21,Product_10,44,1430.4237827988175
2022-01-22,Product_4,14,1186.362795234884
2022-01-23,Product_8,78,575.3802917820169
2022-01-24,Product_9,62,724.129880377754
2022-01-25,Product_2,53,1024.7638405134253
2022-01-26,Product_9,60,974.1004956319857
2022-01-27,Product_9,29,1272.5265278671457
2022-01-28,Product_1,89,1484.9199770905948
2022-01-29,Product_8,1,578.5230337642982
2022-01-30,Product_8,63,1287.7806427230594
2022-01-31,Product_1,8,1188.3582432471353
2022-02-01,Product_1,5,1415.2460102903513
2022-02-02,Product_10,41,1402.203626875348
2022-02-03,Product_9,72,866.8682752589339
2022-02-04,Product_1,48,776.4409900280064
2022-02-05,Product_8,37,1189.0471050887736
2022-02-06,Product_8,86,1370.2946539627756
2022-02-07,Product_1,99,487.53338282904696
2022-02-08,Product_3,1,1179.9889493396042
2022-02-09,Product_7,14,917.8649358190494
2022-02-10,Product_9,79,841.6721711123321
2022-02-11,Product_10,77,581.9770826857057
2022-02-12,Product_7,52,997.7669077728413
2022-02-13,Product_4,94,510.23117256675704
2022-02-14,Product_7,15,1218.8838093245058
2022-02-15,Product_4,13,438.5268963031119
2022-02-16,Product_3,86,1362.5380148675463
2022-02-17,Product_10,45,689.9787387133711
2022-02-18,Product_5,6,875.0147560553468
2022-02-19,Product_4,30,1365.7722977566987
2022-02-20,Product_10,92,759.7425137885211
2022-02-21,Product_1,1,612.1254369232329
2022-02-22,Product_9,77,1339.840170744795
2022-02-23,Product_7,70,937.3593979642006
2022-02-24,Product_9,62,605.4239820413397
2022-02-25,Product_3,44,630.7443505849403
2022-02-26,Product_6,32,946.609215004871
2022-02-27,Product_9,52,768.1740427361881
2022-02-28,Product_1,58,1456.814389183428
2022-03-01,Product_7,2,1169.1111784131083
2022-03-02,Product_5,56,392.41998945771275
2022-03-03,Product_1,2,928.0808767131907
2022-03-04,Product_6,87,670.4434338721031
2022-03-05,Product_1,1,625.4961742670182
2022-03-06,Product_2,53,912.8706743191975
2022-03-07,Product_6,32,1031.6012324613025
2022-03-08,Product_7,75,775.1026244706152
2022-03-09,Product_1,38,772.9506026271413
2022-03-10,Product_4,98,1078.559167375029
2022-03-11,Product_1,73,718.8970747174963
2022-03-12,Product_6,80,396.8914127879785
2022-03-13,Product_4,59,603.2772047003805
2022-03-14,Product_10,67,1280.9262030606728
2022-03-15,Product_4,96,460.6030337551339
2022-03-16,Product_9,33,807.2078242506507
2022-03-17,Product_7,82,1313.3666217934272
2022-03-18,Product_9,89,590.4323638483708
2022-03-19,Product_10,99,612.8325250668946
2022-03-20,Product_10,60,649.9535510549704
2022-03-21,Product_1,48,1460.2322539821128
2022-03-22,Product_5,37,1365.0317946677405
2022-03-23,Product_7,9,670.7020554810092
2022-03-24,Product_3,48,1323.6603135740518
2022-03-25,Product_4,24,815.1843461905187
2022-03-26,Product_1,24,1328.5677160826397
2022-03-27,Product_1,72,1253.141748781035
2022-03-28,Product_8,84,1017.7896146519229
2022-03-29,Product_9,99,1469.713412268615
2022-03-30,Product_2,82,908.4558166241605
2022-03-31,Product_3,80,1493.6260820024438
2022-04-01,Product_4,33,370.786668157849
2022-04-02,Product_5,48,1208.4651158857278
2022-04-03,Product_8,7,1179.0809128899486
2022-04-04,Product_1,48,457.72598300230635
2022-04-05,Product_3,86,654.9827228339843
2022-04-06,Product_6,51,1375.8535384536804
2022-04-07,Product_2,21,928.0326570709709
2022-04-08,Product_1,69,614.7130584777885
2022-04-09,Product_3,4,377.96336139617193
2022-04-10,Product_1,17,1493.7330874169422
2022-04-11,Product_5,6,775.6825052937611
2022-04-12,Product_9,37,1417.5663469758842
2022-04-13,Product_1,46,1461.65304190022
2022-04-14,Product_3,60,1330.9608737874642
2022-04-15,Product_5,32,1328.8071722443856
2022-04-16,Product_3,18,990.3214518271027
2022-04-17,Product_6,58,1419.5193600324567
2022-04-18,Product_8,32,1121.8150443476582
2022-04-19,Product_7,66,642.2881964301996
2022-04-20,Product_10,2,720.9333788743907
2022-04-21,Product_8,33,507.11453115833314
2022-04-22,Product_6,48,985.7429734440939
2022-04-23,Product_10,26,1281.6304038810579
2022-04-24,Product_9,24,1400.226635439942
2022-04-25,Product_10,7,926.7437388902796
2022-04-26,Product_4,65,431.5820545499168
2022-04-27,Product_3,87,381.7592876547604
2022-04-28,Product_2,66,854.2452414708
